Case ID,Case Name,CVPD,Growth Rate (%),Design Life (years),VDF,LDF,CBR (%),Hand Calc MSA,RoadX MSA,Diff %,Hand Calc Mr (MPa),RoadX Mr (MPa),Mr Diff %,Total Thickness (mm),Layer Composition,Fatigue Status,Rutting Status,Workflow Status,MSA Pass/Fail,Reasonableness Pass/Fail,Risk Level,Engineering Remarks
11,Very poor subgrade CBR,1500.0,6.5,15,3.5,0.75,1.5,34.7543,34.7543,0.0000,15.00,15.00,0.0000,750,"Bituminous Concrete (BC) (40mm), Dense Bituminous Macadam (DBM) (160mm), Wet Mix Macadam (WMM) (250mm), Granular Sub-base (GSB) (300mm)","WARN - IITPAVE ran, but fatigue verdict was refused: Mechanistic result flagged placeholder mechanistic input (MechanisticResult.is_placeholder=True). Final verdict refused.","WARN - IITPAVE ran, but rutting verdict was refused: Mechanistic result flagged placeholder mechanistic input (MechanisticResult.is_placeholder=True). Final verdict refused.",mechanistic_workflow_blocked,PASS,PASS,High,Refusal gate verified (BLOCKED on missing EXE)
12,Poor CBR,1500.0,6.5,15,3.5,0.75,2.5,34.7543,34.7543,0.0000,25.00,25.00,0.0000,750,"Bituminous Concrete (BC) (40mm), Dense Bituminous Macadam (DBM) (160mm), Wet Mix Macadam (WMM) (250mm), Granular Sub-base (GSB) (300mm)","WARN - IITPAVE ran, but fatigue verdict was refused: Mechanistic result flagged placeholder mechanistic input (MechanisticResult.is_placeholder=True). Final verdict refused.","WARN - IITPAVE ran, but rutting verdict was refused: Mechanistic result flagged placeholder mechanistic input (MechanisticResult.is_placeholder=True). Final verdict refused.",mechanistic_workflow_blocked,PASS,PASS,Medium,Refusal gate verified (BLOCKED on missing EXE)
13,Medium CBR,1500.0,6.5,15,3.5,0.75,5.0,34.7543,34.7543,0.0000,50.00,50.00,0.0000,680,"Bituminous Concrete (BC) (40mm), Dense Bituminous Macadam (DBM) (160mm), Wet Mix Macadam (WMM) (250mm), Granular Sub-base (GSB) (230mm)","WARN - IITPAVE ran, but fatigue verdict was refused: Mechanistic result flagged placeholder mechanistic input (MechanisticResult.is_placeholder=True). Final verdict refused.","WARN - IITPAVE ran, but rutting verdict was refused: Mechanistic result flagged placeholder mechanistic input (MechanisticResult.is_placeholder=True). Final verdict refused.",mechanistic_workflow_blocked,PASS,PASS,Low,Refusal gate verified (BLOCKED on missing EXE)
14,Good CBR,1500.0,6.5,15,3.5,0.75,8.0,34.7543,34.7543,0.0000,66.60,66.60,0.0000,650,"Bituminous Concrete (BC) (40mm), Dense Bituminous Macadam (DBM) (160mm), Wet Mix Macadam (WMM) (250mm), Granular Sub-base (GSB) (200mm)","WARN - IITPAVE ran, but fatigue verdict was refused: Mechanistic result flagged placeholder mechanistic input (MechanisticResult.is_placeholder=True). Final verdict refused.","WARN - IITPAVE ran, but rutting verdict was refused: Mechanistic result flagged placeholder mechanistic input (MechanisticResult.is_placeholder=True). Final verdict refused.",mechanistic_workflow_blocked,PASS,PASS,Low,Refusal gate verified (BLOCKED on missing EXE)
15,High CBR,1500.0,6.5,15,3.5,0.75,15.0,34.7543,34.7543,0.0000,99.59,99.59,0.0000,600,"Bituminous Concrete (BC) (40mm), Dense Bituminous Macadam (DBM) (160mm), Wet Mix Macadam (WMM) (250mm), Granular Sub-base (GSB) (150mm)","WARN - IITPAVE ran, but fatigue verdict was refused: Mechanistic result flagged placeholder mechanistic input (MechanisticResult.is_placeholder=True). Final verdict refused.","WARN - IITPAVE ran, but rutting verdict was refused: Mechanistic result flagged placeholder mechanistic input (MechanisticResult.is_placeholder=True). Final verdict refused.",mechanistic_workflow_blocked,PASS,PASS,Low,Refusal gate verified (BLOCKED on missing EXE)
16,CBR close to lower allowed limit,1000.0,6.0,15,3.0,0.75,0.1,19.1154,19.1154,0.0000,1.00,1.00,0.0000,690,"Bituminous Concrete (BC) (40mm), Dense Bituminous Macadam (DBM) (100mm), Wet Mix Macadam (WMM) (250mm), Granular Sub-base (GSB) (300mm)","WARN - IITPAVE ran, but fatigue verdict was refused: Mechanistic result flagged placeholder mechanistic input (MechanisticResult.is_placeholder=True). Final verdict refused.","WARN - IITPAVE ran, but rutting verdict was refused: Mechanistic result flagged placeholder mechanistic input (MechanisticResult.is_placeholder=True). Final verdict refused.",mechanistic_workflow_blocked,PASS,PASS,High,Refusal gate verified (BLOCKED on missing EXE)
17,Very high growth rate,1000.0,25.0,15,3.0,0.75,5.0,90.0803,90.0803,0.0000,50.00,50.00,0.0000,710,"Bituminous Concrete (BC) (40mm), Dense Bituminous Macadam (DBM) (190mm), Wet Mix Macadam (WMM) (250mm), Granular Sub-base (GSB) (230mm)","WARN - IITPAVE ran, but fatigue verdict was refused: Mechanistic result flagged placeholder mechanistic input (MechanisticResult.is_placeholder=True). Final verdict refused.","WARN - IITPAVE ran, but rutting verdict was refused: Mechanistic result flagged placeholder mechanistic input (MechanisticResult.is_placeholder=True). Final verdict refused.",mechanistic_workflow_blocked,PASS,PASS,High,Refusal gate verified (BLOCKED on missing EXE)
18,Very long design life,1000.0,6.0,50,3.0,0.75,5.0,238.4384,238.4384,0.0000,50.00,50.00,0.0000,710,"Bituminous Concrete (BC) (40mm), Dense Bituminous Macadam (DBM) (190mm), Wet Mix Macadam (WMM) (250mm), Granular Sub-base (GSB) (230mm)","WARN - IITPAVE ran, but fatigue verdict was refused: Mechanistic result flagged placeholder mechanistic input (MechanisticResult.is_placeholder=True). Final verdict refused.","WARN - IITPAVE ran, but rutting verdict was refused: Mechanistic result flagged placeholder mechanistic input (MechanisticResult.is_placeholder=True). Final verdict refused.",mechanistic_workflow_blocked,PASS,PASS,High,Refusal gate verified (BLOCKED on missing EXE)
19,Very high VDF,1000.0,6.0,15,15.0,0.75,5.0,95.5770,95.5770,0.0000,50.00,50.00,0.0000,710,"Bituminous Concrete (BC) (40mm), Dense Bituminous Macadam (DBM) (190mm), Wet Mix Macadam (WMM) (250mm), Granular Sub-base (GSB) (230mm)","WARN - IITPAVE ran, but fatigue verdict was refused: Mechanistic result flagged placeholder mechanistic input (MechanisticResult.is_placeholder=True). Final verdict refused.","WARN - IITPAVE ran, but rutting verdict was refused: Mechanistic result flagged placeholder mechanistic input (MechanisticResult.is_placeholder=True). Final verdict refused.",mechanistic_workflow_blocked,PASS,PASS,High,Refusal gate verified (BLOCKED on missing EXE)
20,Invalid/garbage input case,-50.0,5.0,15,3.0,0.75,5.0,-0.8861,0.0000,0.0000,50.00,0.00,0.0000,0,N/A,N/A,N/A,ERROR,N/A,PASS,Fatal/Rejected,Correctly rejected: CVPD must be >= 0
